fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.65188,0.00455,0.01192,0.7891,0.00035,1.90346,0.64877,5.26671,0.58047,1.19725,0.01638,0.72166,0.59295,0.0,0.12015,0.40284,0.0,0.0,0.0,0.3341,0.0,0.92252,0.0,0.0
0.65289,0.00492,0.0121,0.85452,0.00042,2.25247,0.69414,8.46565,0.67407,1.42127,0.01371,0.67167,0.64857,0.0,0.11348,0.44198,0.0,0.0,0.0,0.26646,0.0,0.82419,0.0,0.0
0.65746,0.00431,0.01222,0.87461,0.00051,2.2016,0.70523,8.93351,0.62828,1.31871,0.01669,0.67167,0.66882,0.0,0.11702,0.45975,0.0,0.0,0.0,0.25145,0.0,0.82434,0.0,0.0
0.65526,0.00374,0.01153,0.87994,0.00036,1.53866,0.69967,10.89865,0.63666,1.23765,0.01389,0.74104,0.6753,0.0,0.11482,0.42855,0.0,0.0,0.0,0.27821,0.0,1.0,0.0,0.0
0.6562,0.004,0.01222,0.8835,0.0005,2.37762,0.65813,8.6076,0.68053,1.27937,0.01709,0.70182,0.71715,0.0,0.11702,0.42654,0.0,0.0,0.0,0.25145,0.0,0.80428,0.0,0.0
0.65557,0.00376,0.01191,0.87672,0.00047,2.32713,0.66777,8.68533,0.68053,1.19324,0.01585,0.70182,0.68082,0.0,0.12254,0.43627,0.0,0.0,0.0,0.27459,0.0,0.83012,0.0,0.0
0.64956,0.00337,0.01231,0.90794,0.00038,1.3624,0.71567,10.90289,0.48274,1.3388,0.01752,0.75347,0.67203,0.0,0.1029,0.37554,0.0,0.0,0.0,0.32034,0.0,0.94781,0.0,0.0
0.65341,0.00424,0.01337,0.89883,0.0005,2.0292,0.77459,9.20854,0.59534,1.44116,0.01714,0.67167,0.67694,0.0,0.11537,0.45975,0.0,0.0,0.0,0.26055,0.0,0.76877,0.0,0.0
0.65361,0.00503,0.01222,0.85123,0.00045,2.60335,0.68958,8.43476,0.62828,1.28665,0.01506,0.66208,0.64699,0.0,0.11874,0.45209,0.0,0.0,0.0,0.28218,0.0,0.84849,0.0,0.0
0.65958,0.00409,0.01243,0.84585,0.00051,3.05725,0.70523,11.52792,0.6241,1.49565,0.01811,0.67345,0.45512,0.0,0.11064,0.39279,0.0,0.0,0.0,0.24357,0.0,0.82434,0.0,0.0
0.65311,0.00478,0.01108,0.85494,0.00049,2.45713,0.78875,8.2913,0.57357,1.2218,0.01484,0.67167,0.64794,0.0,0.11811,0.45209,0.0,0.0,0.0,0.28878,0.0,0.82448,0.0,0.0
0.65987,0.00416,0.01243,0.85685,0.00049,3.05243,0.72705,11.52792,0.57384,1.49565,0.01827,0.66901,0.48608,0.0,0.11298,0.37917,0.0,0.0,0.0,0.24357,0.0,0.89311,0.0,0.0
0.65824,0.00397,0.00762,0.83397,0.00052,2.20825,0.88105,10.44587,0.64356,1.49565,0.01168,0.64175,0.38752,0.0,0.11854,0.33352,0.0,0.0,0.0,0.3383,0.0,0.82434,0.0,0.0
0.65387,0.0046,0.01282,0.8497,0.00053,2.9011,0.72705,11.01756,0.58328,1.73868,0.01827,0.62186,0.48608,0.0,0.11396,0.36307,0.0,0.0,0.0,0.21684,0.0,0.88903,0.0,0.0
0.66006,0.00411,0.01211,0.82296,0.00044,2.61602,0.74629,11.59484,0.60812,1.40803,0.01811,0.67345,0.45512,0.0,0.11472,0.39279,0.0,0.0,0.0,0.24357,0.0,0.89402,0.0,0.0
0.65489,0.00349,0.01243,0.85685,0.00053,2.97034,0.94361,11.47378,0.44919,1.43451,0.01827,0.61508,0.54655,0.0,0.13005,0.36067,0.0,0.0,0.0,0.10667,0.0,0.61197,0.0,0.0
0.65385,0.00406,0.0139,0.80863,0.00041,2.77864,0.65431,10.30962,0.60812,1.42566,0.02005,0.67345,0.45512,0.0,0.10851,0.43659,0.0,0.0,0.0,0.21305,0.0,0.77997,0.0,0.0
0.66176,0.0041,0.0124,0.85702,0.00049,3.05243,0.72157,11.47331,0.57384,1.39854,0.01827,0.65733,0.49103,0.0,0.10868,0.38883,0.0,0.0,0.0,0.24894,0.0,0.89844,0.0,0.0
0.66033,0.00267,0.01001,0.80961,0.00047,3.61455,0.82066,9.72935,0.48996,1.21146,0.01811,0.46157,0.39727,0.0,0.08747,0.3922,0.0,0.0,0.0,0.24357,0.0,0.7645,0.0,0.0
0.65882,0.0041,0.01154,0.85022,0.00045,3.17675,0.66796,10.48049,0.57384,1.37857,0.01864,0.66121,0.53361,0.0,0.11122,0.40505,0.0,0.0,0.0,0.22442,0.0,0.84523,0.0,0.0
0.6558,0.00445,0.01177,0.82039,0.00069,3.05243,0.5442,10.25023,0.56554,1.39716,0.01999,0.65733,0.49103,0.0,0.13117,0.32656,0.0,0.0,0.0,0.28481,0.0,0.88676,0.0,0.0
0.65877,0.00397,0.01261,0.82177,0.00043,2.67065,0.74006,11.58841,0.62307,1.3969,0.0182,0.69044,0.45512,0.0,0.11357,0.39021,0.0,0.0,0.0,0.24357,0.0,0.91479,0.0,0.0
0.65795,0.00418,0.01611,0.85702,0.00047,3.43527,0.71038,11.47331,0.54892,1.27224,0.01626,0.71195,0.53667,0.0,0.10026,0.35636,0.0,0.0,0.0,0.24894,0.0,0.89876,0.0,0.0
0.65437,0.00455,0.0124,0.86183,0.00049,3.25069,0.77175,12.04391,0.55238,1.53993,0.01827,0.55164,0.4698,0.0,0.10272,0.40784,0.0,0.0,0.0,0.26134,0.0,0.93051,0.0,0.0
